id,title,current_handle,proposed_handle,title_signature,handle_signature,flagged_reason
gid://shopify/Product/8099798843461,3 CUT 9/0 SMOKE TOPAZ TRANSPARENT SILVER LINED PRECIOSA ORNELA BEADS,3-cut-9-0-dark-topaz-transparent-silver-lined-preciosa-ornela-beads-copy-1,3-cut-9-0-smoke-topaz-transparent-silver-lined-preciosa-ornela-beads,"((), (), ())","((), (), ())", + copy-suffix
gid://shopify/Product/8099809787973,3 CUT 9/0 LIGHT AMETHYST TRANSPARENT SILVER LINED PRECIOSA ORNELA BEADS,3-cut-9-0-gold-transparent-silver-lined-preciosa-ornela-beads-copy,3-cut-9-0-light-amethyst-transparent-silver-lined-preciosa-ornela-beads,"((), (), ())","((), (), ())", + copy-suffix
gid://shopify/Product/8099825156165,3 CUT 9/0 AMETHYST TRANSPARENT SILVER LINED PRECIOSA ORNELA BEADS,3-cut-9-0-amethyst-transparent-silver-lined-preciosa-ornela-beads-copy,3-cut-9-0-amethyst-transparent-silver-lined-preciosa-ornela-beads,"((), (), ())","((), (), ())", + copy-suffix
gid://shopify/Product/8099870703685,3 CUT 9/0 COBALT TRANSPARENT SILVER LINED PRECIOSA ORNELA BEADS,3-cut-9-0-cobalt-transparent-silver-lined-preciosa-ornela-beads-copy,3-cut-9-0-cobalt-transparent-silver-lined-preciosa-ornela-beads,"((), (), ())","((), (), ())", + copy-suffix
gid://shopify/Product/8102350913605,3 CUT 9/0 LIGHT AQUA TRANSPARENT SILVER LINED PRECIOSA ORNELA BEADS,3-cut-9-0-light-aqua-transparent-silver-lined-preciosa-ornela-beads-copy,3-cut-9-0-light-aqua-transparent-silver-lined-preciosa-ornela-beads,"((), (), ())","((), (), ())", + copy-suffix
gid://shopify/Product/8102353993797,3 CUT 9/0 LIGHT BLUE ZIRCON TRANSPARENT SILVER LINED PRECIOSA ORNELA BEADS,3-cut-9-0-light-blue-zircon-transparent-silver-lined-preciosa-ornela-beads-copy,3-cut-9-0-light-blue-zircon-transparent-silver-lined-preciosa-ornela-beads,"((), (), ())","((), (), ())", + copy-suffix
gid://shopify/Product/8129310818373,CZECH RHINESTONE SQUAREDELLES - CRYSTAL AB / SILVER,czech-rhinestone-squaredelles-crystal-gold-copy,czech-rhinestone-squaredelles-crystal-ab-silver,"((), (), ())","((), (), ())", + copy-suffix
gid://shopify/Product/8145776312389,3 CUT 9/0 SPHINX (HEMATITE) OPAQUE LUSTER METALLIC PRECIOSA ORNELA BEADS,3-cut-9-0-silver-metallic-preciosa-ornela-beads-copy,3-cut-9-0-sphinx-hematite-opaque-luster-metallic-preciosa-ornela-beads,"((), (), ())","((), (), ())", + copy-suffix
gid://shopify/Product/8145781456965,3 CUT 9/0 BRIGHT GOLD METALLIC IRIS PRECIOSA ORNELA BEADS,3-cut-9-0-bright-gold-metallic-iris-preciosa-ornela-beads-copy,3-cut-9-0-bright-gold-metallic-iris-preciosa-ornela-beads,"((), (), ())","((), (), ())", + copy-suffix
gid://shopify/Product/8145786044485,3 CUT 9/0 DARK RED OPAQUE PRECIOSA ORNELA BEADS,3-cut-9-0-dark-red-opaque-preciosa-ornela-beads-copy,3-cut-9-0-dark-red-opaque-preciosa-ornela-beads,"((), (), ())","((), (), ())", + copy-suffix
gid://shopify/Product/8148073283653,3 CUT 9/0 CRYSTAL LUSTER BEIGE LINED PRECIOSA ORNELA BEADS,3-cut-9-0-crystal-luster-beige-lined-preciosa-ornela-beads-copy,3-cut-9-0-crystal-luster-beige-lined-preciosa-ornela-beads,"((), (), ())","((), (), ())", + copy-suffix
gid://shopify/Product/8148193509445,3 CUT 9/0 CREAM LUSTER RED LINED PRECIOSA ORNELA BEADS,3-cut-9-0-cream-luster-red-lined-preciosa-ornela-beads-copy,3-cut-9-0-cream-luster-red-lined-preciosa-ornela-beads,"((), (), ())","((), (), ())", + copy-suffix
gid://shopify/Product/8150946644037,CZECH RHINESTONE CHAIN MACHINE CUT CRYSTAL - 6.5ss,rhinestone-chain-machine-cut-crystal-crystal-gold,czech-rhinestone-chain-machine-cut-crystal-6-5ss,"(('5',), (), ())","((), (), ())",size/qty mismatch
gid://shopify/Product/8151078240325,CZECH RHINESTONE CHAIN MACHINE CUT CRYSTAL - 8.5ss,rhinestone-chain-machine-cut-crystal-6-5ss-copy,czech-rhinestone-chain-machine-cut-crystal-8-5ss,"(('5',), (), ())","(('5',), (), ())", + copy-suffix
