id,title,missing_seo_title,missing_seo_description
gid://shopify/Product/8179066798149,Czech Glass Roller Beads 6mm EMERALD TRANSPARENT,,yes
gid://shopify/Product/8179066830917,Czech Glass Roller Beads 6mm DARK EMERALD TRANSPARENT,,yes
gid://shopify/Product/8179066863685,Czech Glass Roller Beads 6mm DARK OLIVINE TRANSPARENT,,yes
gid://shopify/Product/8179066896453,Czech Glass Roller Beads 6mm PERIDOT TRANSPARENT MATTE,,yes
gid://shopify/Product/8179066929221,Czech Glass Roller Beads 6mm LIGHT TEAL TRANSPARENT,,yes
gid://shopify/Product/8179066961989,Czech Glass Roller Beads 6mm TEAL TRANSPARENT,,yes
gid://shopify/Product/8179066994757,Czech Glass Roller Beads 6mm LIGHT AQUAMARINE TRANSPARENT,,yes
gid://shopify/Product/8179067027525,Czech Glass Roller Beads 6mm AQUAMARINE TRANSPARENT,,yes
gid://shopify/Product/8179067060293,Czech Glass Roller Beads 6mm DARK AQUAMARINE TRANSPARENT,,yes
gid://shopify/Product/8179067093061,Czech Glass Roller Beads 6mm PINK PEACH TRANSPARENT,,yes
gid://shopify/Product/8179067125829,Czech Glass Roller Beads 6mm CITRINE TRANSPARENT,,yes
gid://shopify/Product/8179067158597,Czech Glass Roller Beads 6mm HYACINTH TRANSPARENT,,yes
gid://shopify/Product/8179067191365,Czech Glass Roller Beads 6mm SIAM RUBY TRANSPARENT MATTE,,yes
gid://shopify/Product/8179067224133,Czech Glass Roller Beads 9mm CHALK WHITE OPAQUE,,yes
gid://shopify/Product/8179067256901,Czech Glass Roller Beads 9mm BROWN OPAQUE,,yes
gid://shopify/Product/8179067289669,Czech Glass Roller Beads 9mm DARK BROWN OPAQUE,,yes
gid://shopify/Product/8179067322437,Czech Glass Roller Beads 9mm GUNMETAL METALLIC,,yes
gid://shopify/Product/8179067355205,Czech Glass Roller Beads 9mm BROWN IRIS METALLIC,,yes
gid://shopify/Product/8179067387973,Czech Glass Roller Beads 9mm BLUE IRIS METALLIC,,yes
gid://shopify/Product/8179067420741,Czech Glass Roller Beads 9mm AMETHYST OPAQUE,,yes
gid://shopify/Product/8179067453509,Czech Glass Roller Beads 9mm JET BLACK,,yes
gid://shopify/Product/8179067486277,Czech Glass Roller Beads 9mm TRANSLUCENT BLUE OPAL GLASS,,yes
gid://shopify/Product/8179067519045,Czech Glass Roller Beads 9mm TRANSLUCENT BLUE ALABASTER GLASS,,yes
gid://shopify/Product/8179067551813,Czech Glass Roller Beads 9mm BLUE OPAQUE,,yes
gid://shopify/Product/8179067584581,Czech Glass Roller Beads 9mm GREY OPAQUE LUSTER,,yes
gid://shopify/Product/8179067617349,Czech Glass Roller Beads 9mm TRANSLUCENT GREEN OPAL GLASS,,yes
gid://shopify/Product/8179067682885,Czech Glass Roller Beads 9mm TRANSLUCENT GREEN ALABASTER GLASS,,yes
gid://shopify/Product/8179067715653,Czech Glass Roller Beads 9mm BLUE TURQUOISE OPAQUE,,yes
gid://shopify/Product/8179067748421,Czech Glass Roller Beads 9mm LIGHT TURQUOISE OPAQUE,,yes
gid://shopify/Product/8179067781189,Czech Glass Roller Beads 9mm GREEN TURQUOISE OPAQUE,,yes
gid://shopify/Product/8179067813957,Czech Glass Roller Beads 9mm TRANSLUCENT PINK,,yes
gid://shopify/Product/8179067846725,Czech Glass Roller Beads 9mm PINK OPAQUE,,yes
gid://shopify/Product/8179067879493,Czech Glass Roller Beads 9mm TRANSLUCENT CITRINE OPAL GLASS,,yes
gid://shopify/Product/8179067912261,Czech Glass Roller Beads 9mm YELLOW OPAQUE,,yes
gid://shopify/Product/8179067977797,Czech Glass Roller Beads 9mm MANGO OPAQUE,,yes
gid://shopify/Product/8179068010565,Czech Glass Roller Beads 9mm ORANGE OPAQUE,,yes
gid://shopify/Product/8179068043333,Czech Glass Roller Beads 9mm RED OPAQUE,,yes
gid://shopify/Product/8179068108869,Czech Glass Roller Beads 9mm SOFT SILVER OPAQUE,,yes
gid://shopify/Product/8179068141637,Czech Glass Roller Beads 9mm SOFT BRONZE OPAQUE,,yes
gid://shopify/Product/8179068174405,Czech Glass Roller Beads 9mm SOFT SLATE BLUE,,yes
gid://shopify/Product/8179068207173,Czech Glass Roller Beads 9mm SOFT GREEN,,yes
gid://shopify/Product/8179068239941,Czech Glass Roller Beads 9mm SOFT RED,,yes
gid://shopify/Product/8179068272709,Czech Glass Roller Beads 9mm SOFT DARK PURPLE,,yes
gid://shopify/Product/8179068305477,Czech Glass Roller Beads 6mm CHALK WHITE OPAQUE,,yes
gid://shopify/Product/8179068371013,Czech Glass Roller Beads 6mm GUNMETAL,,yes
gid://shopify/Product/8179068403781,Czech Glass Roller Beads 6mm BROWN IRIS METALLIC,,yes
gid://shopify/Product/8179068436549,Czech Glass Roller Beads 6mm BLUE IRIS METALLIC,,yes
gid://shopify/Product/8179068469317,Czech Glass Roller Beads 6mm GREEN IRIS METALLIC,,yes
gid://shopify/Product/8179068502085,Czech Glass Roller Beads 6mm PURPLE IRIS METALLIC,,yes
gid://shopify/Product/8179068534853,Czech Glass Roller Beads 6mm TRANSLUCENT BLUE OPAL GLASS,,yes
gid://shopify/Product/8179068567621,Czech Glass Roller Beads 6mm JET BLACK AB OPAQUE,,yes
gid://shopify/Product/8179068600389,Czech Glass Roller Beads 6mm BLUE TURQUOISE MATTE OPAQUE,,yes
gid://shopify/Product/8179068633157,Czech Glass Roller Beads 6mm YELLOW OPAQUE,,yes
gid://shopify/Product/8179068665925,Czech Glass Roller Beads 6mm ORANGE OPAQUE,,yes
gid://shopify/Product/8179068698693,Czech Glass Roller Beads 6mm RED OPAQUE,,yes
gid://shopify/Product/8179068731461,Czech Glass Roller Beads 6mm SOFT RED,,yes
gid://shopify/Product/8179068764229,Czech Glass Crow Beads 9mm BROWN,,yes
gid://shopify/Product/8179068796997,Czech Glass Crow Beads 9mm MAUVE,,yes
gid://shopify/Product/8179068829765,Czech Glass Crow Beads 9mm PURPLE,,yes
gid://shopify/Product/8179068895301,Czech Glass Crow Beads 9mm BLUE,,yes
gid://shopify/Product/8179068928069,Czech Glass Crow Beads 9mm GREEN,,yes
gid://shopify/Product/8179068960837,Czech Glass Crow Beads 9mm YELLOW,,yes
gid://shopify/Product/8179068993605,Czech Glass Crow Beads 9mm ORANGE,,yes
gid://shopify/Product/8179069026373,Czech Glass Crow Beads 9mm DARK ORANGE,,yes
gid://shopify/Product/8179104448581,Plexi-Lalique Flower 20mm Frosted Crystal,,yes
gid://shopify/Product/8179104514117,Plexi-Lalique Petals 24mm Frosted Crystal,,yes
gid://shopify/Product/8179104546885,Plexi-Lalique Daisy 23mm Frosted Crystal,,yes
gid://shopify/Product/8179104579653,Plexi-Lalique Petals 26mm Frosted Crystal,,yes
gid://shopify/Product/8179104677957,Plexi-Lalique Petals 34mm Frosted Crystal,,yes
gid://shopify/Product/8179104710725,Plexi-Lalique Daisy button 23mm Frosted Crystal,,yes
gid://shopify/Product/8179104743493,Plexi-Lalique Daisy button 17mm Frosted Crystal,,yes
gid://shopify/Product/8179104776261,Plexi-Lalique Petals 17mm Frosted Crystal,,yes
gid://shopify/Product/8179104809029,Plexi-Lalique Leaf 25x15mm Frosted Crystal,,yes
gid://shopify/Product/8179104841797,Plexi-Lalique Leaf 18x24mm Frosted Crystal,,yes
gid://shopify/Product/8179104874565,Plexi-Lalique Leaf 27x26mm Frosted Crystal,,yes
gid://shopify/Product/8179104940101,Plexi-Lalique Leaf 21x20mm Frosted Crystal,,yes
gid://shopify/Product/8179104972869,Plexi-Lalique Leaves 34x32mm Frosted Crystal,,yes
gid://shopify/Product/8179105005637,Plexi-Lalique Leaf 52.5x15mm Frosted Crystal,,yes
gid://shopify/Product/8179105038405,Plexi-Lalique Leaf 41x15mm Frosted Crystal,,yes
gid://shopify/Product/8179105103941,Plexi-Lalique Petals 30x17mm Frosted Crystal,,yes
gid://shopify/Product/8179105169477,Plexi-Lalique Leaf 27x10mm Frosted Crystal,,yes
gid://shopify/Product/8179873284165,RIM CHATONMONTEE SET WITH PRECIOSA MC CRYSTAL OPTIMA CHATONS 13ss - CRYSTAL/SILVER,,yes
gid://shopify/Product/8180773781573,RIM CHATONMONTEE SET WITH PRECIOSA MC CRYSTAL OPTIMA CHATONS 16ss - CRYSTAL/SILVER,,yes
gid://shopify/Product/8180775387205,RIM CHATONMONTEE SET WITH PRECIOSA MC CRYSTAL OPTIMA CHATONS 20ss - CRYSTAL/SILVER,,yes
gid://shopify/Product/8180777615429,RIM CHATONMONTEE SET WITH PRECIOSA MC CRYSTAL OPTIMA CHATONS 30ss - CRYSTAL/SILVER,,yes
gid://shopify/Product/8180779679813,RIM CHATONMONTEE SET WITH PRECIOSA MC CRYSTAL OPTIMA CHATONS 34ss - CRYSTAL/SILVER,,yes
gid://shopify/Product/8183133569093,Czech Glass Roller Beads 9mm TOPAZ TRANSPARENT MATTE,,yes
gid://shopify/Product/8183133634629,Czech Glass Roller Beads 6mm LIGHT SAPPHIRE TRANSPARENT,,yes
gid://shopify/Product/8183147954245,Plexi-Lalique Petals 27mm Frosted Crystal,,yes
